customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date,customer_segment,is_active
60,Tyler,Zuniga,nancy04@example.net,+1-515-347-8872x874,74205 Bradley Throughway Apt. 296,Robertsonland,Montana,88221,USA,2024-04-16,Basic,True
61,Jack,Taylor,shari04@example.com,774.554.9904,174 Richard Parkway,Hannahport,Mississippi,81061,USA,2024-07-22,Basic,False
62,Jeffrey,Anderson,spencerzhang@example.com,(387)283-3918x78519,822 Bond Mills,Lake Jamieshire,New York,12420,USA,2025-12-31,Basic,True
63,William,Stokes,aanderson@example.com,001-508-374-0640,5180 Valerie Mountains,West Robertberg,Wyoming,84586,USA,2025-08-21,Standard,False
64,Debbie,Fisher,ywest@example.com,482-551-2868,47868 Morrow Gateway,Reedview,Illinois,95531,USA,2025-09-18,Basic,False
65,Daniel,Pacheco,bmendez@example.org,211.890.7903,83028 Young Street Suite 995,West Nancy,Texas,68822,USA,2024-07-22,Basic,True
66,Robert,Hill,conniesimmons@example.com,8564856624,34270 Faulkner Point Apt. 634,West Deborah,New Hampshire,49138,USA,2024-04-13,Basic,True
67,Amanda,Calderon,adamsemily@example.net,6132983735,17393 Herman Plaza,Kimberlyfurt,New Jersey,70447,USA,2025-06-19,Basic,True
68,Michael,Green,zowens@example.net,853.655.6093x2048,53693 Pierce Spur,Jonathanfort,Washington,84609,USA,2025-08-29,Basic,True
69,Tracy,Jackson,gary87@example.org,+1-508-301-0062,38750 Hopkins Brook,New Andreatown,Alaska,69892,USA,2025-08-15,Basic,True
70,Joshua,Madden,shawheidi@example.com,(611)782-3398,1567 Veronica Fork Suite 101,Grayside,New Mexico,07856,USA,2025-06-10,Premium,True
71,Albert,Jackson,pbruce@example.com,001-218-303-3974,902 Smith Fords Apt. 614,New John,Missouri,89241,USA,2025-12-29,Standard,True
72,Amber,Reyes,krystalnorris@example.org,650.916.3159x99650,58662 Miller River Suite 311,Ericberg,West Virginia,51569,USA,2024-10-04,Standard,True
73,Michael,Davis,sean41@example.org,226-378-8861,199 Shields Bridge Suite 661,New Adriana,Utah,50404,USA,2024-06-12,Basic,True
74,Dominic,Turner,kthomas@example.com,964-371-5437x993,0659 Brock Isle,Cookberg,Maryland,42531,USA,2025-05-15,Basic,True
75,Stacey,Harris,gregory65@example.com,001-479-235-6465x1939,374 Lori Underpass Suite 724,West Donna,Virginia,55961,USA,2025-10-06,Basic,True
76,Nicholas,Cole,iaguilar@example.net,001-268-805-8911x352,1014 William Path Apt. 756,Bartonshire,Vermont,66098,USA,2024-05-29,Basic,True
77,Michael,Johnson,phillipssamantha@example.org,725-945-7387,7514 Lisa Crescent,Port Matthewville,Utah,22043,USA,2026-01-24,Basic,True
78,Tonya,Sanchez,andrearivera@example.com,836.822.6609x379,334 Barbara Union,West Mark,New Jersey,15437,USA,2024-08-23,Premium,True
79,Emily,Burns,candice96@example.net,355-479-2499,34125 William Manor Apt. 966,South Cynthia,Vermont,85076,USA,2026-01-24,Premium,True
80,Zoe,Peters,lroberts@example.com,890.950.7236x887,772 Ariana Underpass Apt. 404,New Keith,Wyoming,60443,USA,2025-04-16,Basic,True
81,Julia,Cannon,armstrongjoseph@example.net,(680)778-3613x407,1339 Callahan Ridge,Martinberg,Indiana,27625,USA,2025-10-19,Standard,True
82,Brian,Bell,candice25@example.net,449-748-1260x4223,672 Burton Lane,Jonesland,Montana,68083,USA,2025-09-06,Premium,True
83,Joshua,Mayer,shawn75@example.net,5179518636,4589 Ashlee Oval Suite 001,Smithburgh,New Hampshire,60337,USA,2024-02-02,Standard,True
84,Victoria,Patterson,nicoleturner@example.com,554-815-2064,103 Miller Ramp,New Erin,Alabama,01557,USA,2025-07-26,Premium,True
85,Matthew,Martinez,ebenson@example.org,861.411.5542,89092 Bell Forest,South Christina,New Hampshire,28975,USA,2024-04-09,Basic,True
86,Peggy,Taylor,lawrencepatrick@example.com,523-841-3899x94043,037 Rodriguez Parks Apt. 805,Davidshire,Nebraska,48396,USA,2025-04-01,Premium,False
87,Felicia,Farmer,smithcarlos@example.com,800.368.4866,1418 Terri Drives,Peterland,Maryland,92077,USA,2025-01-06,Premium,True
88,Jessica,Mathis,sanchezsandy@example.org,799.604.2102x027,2410 Roman Groves,West Jennifershire,South Dakota,10602,USA,2025-02-21,Premium,False
89,Spencer,Ward,kvillarreal@example.com,(241)591-3800,5622 Angela Station,Walkerbury,Nebraska,94910,USA,2024-10-07,Basic,True
90,Joseph,Miller,david02@example.org,606.617.4451x87053,5973 Edward Lodge,East Ambertown,Michigan,00692,USA,2025-09-13,Standard,False
91,Diane,Sweeney,dalton83@example.com,302.441.0386x5719,99062 Kelly Vista Suite 655,Nelsonland,Illinois,18341,USA,2025-09-29,Premium,True
92,Kayla,Rodriguez,martinsteven@example.com,385-437-4741,903 Hernandez Station Apt. 568,Lake Kentburgh,Alaska,53505,USA,2025-11-26,Basic,True
93,Shannon,Adkins,codygarcia@example.org,600-332-3651,37215 Brad Mountain,East Sandrachester,Washington,52274,USA,2025-02-21,Standard,True
94,Anthony,Vega,michaelodonnell@example.com,972-209-9934x768,6263 Crystal Unions,South Kimberlystad,New Mexico,71872,USA,2025-09-30,Standard,False
95,Todd,Durham,paul20@example.com,+1-530-540-7859x321,039 Kelly Villages Apt. 239,Lindastad,Pennsylvania,04198,USA,2025-08-01,Premium,True
96,Jackie,Meza,annalopez@example.com,+1-542-270-1039,59325 Samantha Vista Suite 002,Port Daniel,North Dakota,48327,USA,2024-03-29,Premium,True
97,Nathaniel,Mcmahon,vwillis@example.com,622-667-5289x53926,09690 Carrie Valleys,Lake Ariana,New York,18935,USA,2024-10-16,Standard,True
98,Julie,Young,gary15@example.com,2438315410,626 Macias Keys Suite 179,East Shannon,Arizona,39155,USA,2024-02-17,Basic,True
99,Lucas,Lynn,petersonpamela@example.org,001-418-215-9970x6296,3368 Guerrero Hills,North Brandon,Oregon,72546,USA,2025-11-15,Basic,True
100,Travis,Brown,pattersonkelly@example.net,+1-897-931-0324x1714,418 Lopez Light Suite 270,Scottview,Iowa,35701,USA,2025-04-15,Premium,True
101,Bryan,Goodwin,millermaurice@example.net,(393)880-6868x79374,989 David Throughway,Thompsonburgh,Indiana,25761,USA,2024-05-10,Basic,True
102,Brad,Miller,oharris@example.org,+1-945-211-6868x548,62299 Sara Port Apt. 485,Bakerfort,Oregon,80318,USA,2025-02-03,Premium,True
103,Benjamin,Hill,christinebecker@example.com,7656307450,7132 Mccann Mills Suite 469,East Scottchester,West Virginia,64000,USA,2025-09-13,Premium,True
104,Zachary,Brooks,robertsonerik@example.com,001-286-928-9023x303,3457 Reid Crossing,East Nathanmouth,Idaho,62705,USA,2025-05-02,Premium,True
105,Andrea,Cooper,kaitlyn14@example.org,(902)493-3334x6800,034 Marquez Station,Rodneyfurt,Minnesota,60662,USA,2024-08-15,Standard,False
106,Jeffery,Turner,asilva@example.net,+1-658-699-4417x15454,83096 Becker Stravenue,Lake Tylerport,Kentucky,55363,USA,2024-12-12,Premium,True
107,Paul,Johnson,matthewreeves@example.net,+1-375-984-2824,482 Pena Forges,Jeffreyport,Nebraska,43927,USA,2024-11-16,Basic,False
108,Jorge,Carter,ruizmichelle@example.net,001-691-873-8168,23569 Thomas Wall,Port Christopher,Michigan,83211,USA,2024-06-18,Premium,False
109,Lawrence,Brown,whill@example.org,001-827-912-9666,08350 Sherman Pines Apt. 003,Lake Natalie,Maryland,17400,USA,2024-04-21,Standard,True
110,Patrick,Chapman,cameronwilliams@example.com,889.285.6257x532,23098 David Station,South Nancyview,Wyoming,70589,USA,2025-05-31,Premium,True
111,Brandon,Vang,valdezandrew@example.net,567-261-8472,1849 Robert Cove Apt. 411,Gonzalezborough,Wyoming,34972,USA,2025-11-08,Basic,False
112,Alexandra,Harris,cphillips@example.net,337.353.0011x9721,374 Marshall Courts Apt. 045,Ronaldville,Connecticut,99880,USA,2025-12-24,Standard,False
113,Brandon,Christian,markkline@example.net,815-452-1667x467,02169 Pham Springs,Whitefurt,Wyoming,47503,USA,2025-05-21,Standard,False
114,Anthony,Cohen,timothyfreeman@example.com,301.845.0899x358,5628 Alexander Estate,Christianburgh,California,98992,USA,2025-02-17,Basic,True
115,Malik,Rivera,brent38@example.net,(963)217-7971x7751,6088 Margaret Turnpike,Pamelaside,Indiana,86300,USA,2025-07-07,Basic,True
116,Stephen,Peterson,velasquezmegan@example.com,+1-299-775-7113,488 Park Cape Apt. 726,West Cherylborough,Delaware,51998,USA,2024-07-18,Premium,False
117,Stephen,Harrington,daniel60@example.net,+1-991-477-9827x08086,216 Gordon Lights,Pettybury,Louisiana,52650,USA,2024-10-25,Basic,True
118,Tara,Chavez,devonmorrison@example.net,748.358.3339x45228,799 Craig Ville Suite 608,North Oscarton,Texas,07920,USA,2024-07-06,Premium,True
119,Joseph,Floyd,frances20@example.net,638-205-7198x3863,6580 Julia Flats Suite 359,Port Jenny,Illinois,39059,USA,2025-01-15,Premium,True
120,Gregory,Fleming,sydneymoss@example.org,(406)248-4229x4057,9094 Tyler Plaza,Charlesmouth,North Dakota,29331,USA,2024-06-23,Basic,False
121,Abigail,Hartman,robertherrera@example.org,(233)355-5439x878,3993 Felicia Islands Suite 164,Angelhaven,Wyoming,49647,USA,2025-03-07,Premium,False
122,Leah,Griffin,phillipsdenise@example.com,811.328.8013x36138,75011 Gregory Glen,New Lorraineview,Nebraska,51361,USA,2025-01-17,Premium,True
123,Crystal,Hamilton,pricedavid@example.org,+1-691-990-1581x4491,0728 Derek Lock Suite 245,New Nancyberg,Delaware,05976,USA,2024-02-05,Standard,True
124,Ashley,Long,torreskaitlin@example.net,(436)282-2239x431,814 John Flat Suite 552,North Justin,California,25863,USA,2024-10-05,Premium,False
125,Todd,Murphy,heather29@example.net,(756)920-5336x452,5478 Gregory Rest Apt. 428,West Jessica,South Dakota,10523,USA,2025-08-20,Basic,True
126,Charles,Smith,hessbeth@example.net,808.548.8725,78816 Shaw Shore Apt. 928,South Erik,Oregon,74663,USA,2025-06-28,Premium,True
127,Monica,Thomas,ccrosby@example.org,001-273-214-5303x85677,84498 Nicholas Lane Suite 918,Nicholasbury,North Dakota,53695,USA,2024-11-02,Premium,True
128,Lisa,Reed,aeaton@example.net,(472)431-8432,136 Cortez Orchard Suite 739,Lake Martha,Alaska,32439,USA,2024-03-06,Premium,False
129,David,Vargas,crystalwilliams@example.net,(202)642-8699,79772 Maria Rapid,Port Brandi,Wyoming,24340,USA,2025-05-31,Standard,False
130,Donna,Baker,sandra99@example.org,866.421.0388,79908 Christopher Shoals,New Amber,Alabama,89441,USA,2025-06-20,Premium,False
131,Ryan,Fisher,wolferoy@example.com,001-865-699-1624x73149,09818 Nicholas Ford,Robertville,Georgia,56347,USA,2025-06-22,Premium,True
132,Brenda,Green,ncunningham@example.com,+1-763-868-8725x88744,137 Craig Pass,Hartmanside,South Carolina,91865,USA,2025-07-17,Standard,True
133,Jasmine,Martin,brockmadeline@example.com,+1-661-214-3519x066,770 Melissa Unions,Jameshaven,North Dakota,92048,USA,2024-07-30,Standard,True
134,Christina,Craig,john02@example.org,665-766-9380x118,3937 Andrews Green Apt. 681,New Kellyville,North Carolina,34277,USA,2025-12-13,Standard,True
135,Amanda,Leon,heather69@example.com,001-735-877-9071x41633,804 Justin Locks Suite 182,Edwardsborough,Oregon,35769,USA,2024-06-22,Standard,False
136,Stacey,Vega,victorgonzalez@example.net,343.333.3952,790 Melanie Landing,Travisshire,Louisiana,64831,USA,2024-06-23,Premium,True
137,Tracey,Moon,raymond92@example.org,267.280.8562x71875,9155 Lopez Greens,West Thomas,South Carolina,45471,USA,2024-11-12,Standard,True
138,Ivan,Coleman,xhaynes@example.com,(847)529-2931x4386,270 Robert Dale,Kristenport,Kentucky,74181,USA,2025-11-29,Premium,True
139,Ashley,Ross,briancervantes@example.com,+1-317-754-5588x4506,982 Kelly Spring,Hamptonmouth,Colorado,50448,USA,2025-05-23,Basic,True
140,Justin,Welch,mirandadavidson@example.com,(899)661-1253x55449,9876 Ivan Brooks Apt. 341,East Randy,Connecticut,08862,USA,2026-01-29,Premium,True
141,Natasha,Kelley,wisealexandria@example.org,649-921-6433,82005 Lin Mountain,Amyberg,Vermont,71186,USA,2024-06-18,Basic,False
142,Brittany,Bryant,omills@example.net,257-283-1745x6424,4780 Arroyo Neck,Albertchester,Maine,78751,USA,2024-07-30,Basic,True
143,Laura,Kelley,robertcastro@example.com,626.663.4163,3122 Rodriguez Motorway Suite 497,West Andrew,Arkansas,70620,USA,2024-02-19,Premium,True
144,Jacob,Garcia,david70@example.org,720-973-5647,1204 Jones Mountains,East Paula,Kentucky,50515,USA,2025-11-06,Premium,True
145,Alexander,Villegas,paulproctor@example.org,001-303-671-8376x4520,435 Michelle Forge Apt. 365,East Laurashire,Delaware,52380,USA,2025-10-06,Basic,True
146,John,Novak,jbarker@example.com,001-413-927-1950x05281,8573 Hannah Knolls,West Rachel,New York,93119,USA,2025-01-06,Basic,True
147,Angelica,Daniels,llopez@example.net,(657)749-8218x274,86209 Parsons Garden Suite 186,New Felicia,Wyoming,72782,USA,2024-05-31,Standard,True
148,Chloe,Morris,daniel81@example.org,(820)931-7310,53910 Diana Village Apt. 705,Shortton,South Carolina,35341,USA,2025-03-18,Basic,True
149,Billy,Jones,christian38@example.org,438-863-3839,957 Andrade Expressway,New Richard,Michigan,86685,USA,2024-06-03,Basic,True
150,Amanda,Greene,rachel85@example.com,(865)293-9836x84577,9082 Smith Forges,Port Leslie,Wyoming,90903,USA,2025-11-01,Basic,True
151,Joshua,Spencer,clintonstevens@example.org,(845)593-3441,572 Petersen Spurs,New Dawnton,Washington,76035,USA,2024-11-24,Standard,True
152,Christian,Brown,michael66@example.org,001-539-406-0480x58925,679 Jeffrey Highway,Hernandezmouth,Colorado,62872,USA,2025-04-20,Standard,True
153,Julie,Kelley,christopher86@example.net,(527)583-7693,6591 Emily Manors,Michaelmouth,Minnesota,78341,USA,2025-06-25,Basic,True
154,Andrew,Torres,christina79@example.org,603.235.2110x392,147 Johnson Fords Apt. 388,Anaberg,Vermont,92088,USA,2025-07-05,Premium,True
155,Andrew,Aguilar,scottbrian@example.org,001-694-807-0164x510,8157 Jacob Parkway,Castrotown,Arizona,32927,USA,2026-01-18,Standard,True
156,Alyssa,Cook,bgarner@example.com,+1-455-743-8404x60843,216 Robert Ports Apt. 649,Shaneberg,Indiana,86021,USA,2024-05-19,Basic,True
157,Bianca,Sutton,michelleparker@example.net,226.729.2518x81252,4742 Daniel Ferry Apt. 994,New Jesse,Utah,03919,USA,2024-11-07,Standard,True
158,Christopher,Chan,waynejacobs@example.net,+1-652-867-7223x3060,331 Sara Mill,Wattsmouth,Kansas,56541,USA,2024-12-12,Premium,True
159,Kimberly,Franklin,zcortez@example.net,001-899-288-0817x7038,034 Sanders Hollow Suite 726,Christieton,Vermont,68261,USA,2026-01-03,Standard,True
160,Douglas,Gallegos,gdavis@example.org,(498)926-6570,1452 Christopher Squares,Waltersland,North Dakota,93205,USA,2024-11-26,Premium,True
161,Jessica,Hester,nicholasjames@example.org,492-522-2064x47421,407 Foley Plains,New Nicolebury,Indiana,77684,USA,2025-06-28,Basic,True
162,Thomas,Ortiz,burkeadam@example.net,698-730-2205x020,16224 Tammy Summit,Sarahland,Wyoming,39730,USA,2024-10-09,Premium,True
163,Miguel,Gray,changmegan@example.org,372-314-5868x3390,946 Green Ports Suite 299,Stonefort,New York,24081,USA,2025-12-19,Premium,True
164,Chelsea,Erickson,aaronjohnson@example.net,539-266-0558,441 Evans Plaza,Katieville,Utah,44185,USA,2024-10-24,Standard,True
165,Randy,Carroll,collierjames@example.com,+1-677-702-7278x57608,95512 Pittman Junction,Simsburgh,Oregon,79889,USA,2024-11-30,Premium,False
166,Jacob,Wilson,janet50@example.com,(517)335-7438x42150,078 James Orchard Suite 521,East Jenny,New Jersey,51302,USA,2025-08-09,Basic,True
167,Michelle,Wilson,sarah91@example.com,601.684.0943x533,1422 Wilson Road Apt. 385,Josephport,Oregon,32590,USA,2024-06-14,Basic,True
168,Charles,Austin,amber02@example.org,701.660.1662x9979,81792 Lisa Square Suite 174,Ruizbury,Georgia,81364,USA,2024-08-20,Basic,True
169,Roberta,Myers,kristina57@example.com,7174157724,1581 Patel Locks,Allenbury,Oklahoma,21344,USA,2025-02-10,Basic,True
170,Patrick,Peterson,bmueller@example.net,983-421-9719x97581,1919 Murphy Rue Apt. 132,Port Dwayneberg,New Hampshire,70133,USA,2024-09-15,Premium,True
171,Peter,Lane,jamierich@example.com,001-846-451-9098,58008 Rodriguez Haven Apt. 369,Garrettfurt,Montana,50513,USA,2025-01-05,Premium,True
172,Amy,Bates,jtaylor@example.com,(462)342-2010x276,679 Hanson Motorway,Arnoldmouth,Missouri,47071,USA,2024-07-26,Basic,True
173,Jacob,Jacobs,pbradford@example.net,346.489.5009x75197,8189 John Roads Apt. 894,West Amandatown,New Mexico,60012,USA,2025-03-06,Standard,True
174,Rebecca,Berry,robert44@example.org,2946940792,7128 Melissa Harbors,Davidview,Louisiana,34180,USA,2024-02-13,Basic,True
175,Judith,Munoz,donnawood@example.org,837-828-0512x927,723 Brown Greens,North Garyfurt,New Mexico,40001,USA,2025-02-05,Basic,True
176,Julie,Goodwin,noahthornton@example.com,728-860-4765x801,4414 Murray Spring Apt. 938,Ericaburgh,Massachusetts,72277,USA,2024-02-10,Premium,True
177,Emily,Decker,jenkinsalicia@example.net,553.344.3009x109,92692 Heather Glen,Stevenland,South Dakota,59934,USA,2026-01-18,Basic,False
178,Wanda,Hammond,jonathan14@example.org,(465)904-4271x7396,86391 Baldwin Cove,North Chadview,Wyoming,58943,USA,2024-02-16,Standard,True
179,Peggy,Hernandez,fitzpatrickelizabeth@example.com,(856)390-8776,67198 Cook Hollow,Brownland,Mississippi,70575,USA,2025-11-25,Premium,False
180,Susan,Miller,shodges@example.net,728.906.3461,732 James Stravenue,South Paul,Ohio,84833,USA,2024-09-28,Standard,True
181,Victor,Hanna,blevy@example.org,205-406-1387x82931,079 John Run Apt. 020,Loriville,New Jersey,80615,USA,2024-06-13,Premium,True
182,Mary,Brown,wilsonbrooke@example.net,413.765.6519,92511 Thomas Mall,Lake Mitchell,Hawaii,57997,USA,2024-08-09,Premium,True
183,Sara,Williams,moodycrystal@example.com,001-520-471-0021x94672,763 Cheryl Camp Apt. 791,Michaeltown,Oklahoma,31386,USA,2024-06-30,Premium,False
184,David,Moreno,montgomerymichelle@example.net,237.734.0312x77220,64597 Dan Center Apt. 207,North Pattymouth,Pennsylvania,76491,USA,2024-10-12,Basic,False
185,Robert,Burgess,jerry15@example.org,936-236-3179,39726 Taylor Stravenue Apt. 543,Davidshire,Arkansas,37280,USA,2024-05-18,Basic,True
